,PLAYER,NATIONALITY,TYPE,PRICE,SOLD/UNSOLD,TEAM,YEAR,bat inns,bat ave,dot%,bat sr,bowl inns,econ,wickets
0,Robin Uthappa,Indian,Batsman,20.0,1,Chennai Super Kings,2022,8.0,33.9,31.7,150.6,,,
1,Dwayne Bravo,Overseas,All-Rounder,44.0,1,Chennai Super Kings,2022,9.0,32.0,37.8,142.2,17.0,8.44,23.0
2,Ambati Rayudu,Indian,Wicket Keeper,67.5,1,Chennai Super Kings,2022,16.0,26.7,32.5,155.3,,,
3,Deepak Chahar,Indian,Bowler,140.0,1,Chennai Super Kings,2022,3.0,9.0,27.3,81.8,17.0,8.5,14.0
4,Hari Nishaanth,Indian,Batsman,2.0,1,Chennai Super Kings,2022,7.0,39.8,38.1,135.4,1.0,8.4,0.0
5,N. Jagadeesan,Indian,Wicket Keeper,2.0,1,Chennai Super Kings,2022,12.0,36.7,40.3,120.3,,,
6,K.M. Asif,Indian,Bowler,2.0,1,Chennai Super Kings,2022,,,,,,,
7,Tushar Deshpande,Indian,Bowler,2.0,1,Chennai Super Kings,2022,1.0,,40.0,100.0,2.0,13.57,2.0
8,Shivam Dube,Indian,All-Rounder,40.0,1,Chennai Super Kings,2022,13.0,35.5,35.7,130.3,8.0,8.18,3.0
9,Chris Jordan,Overseas,All-Rounder,36.0,1,Chennai Super Kings,2022,11.0,23.2,31.9,147.9,27.0,8.45,24.0
10,Maheesh Theekshana,Overseas,Bowler,7.0,1,Chennai Super Kings,2022,2.0,1.0,83.3,33.3,10.0,6.87,16.0
11,Rajvardhan Hangargekar,Indian,All-Rounder,15.0,1,Chennai Super Kings,2022,,,,,,,
12,Simarjeet Singh,Indian,Bowler,2.0,1,Chennai Super Kings,2022,,,,,,,
13,Devon Conway,Overseas,Batsman,10.0,1,Chennai Super Kings,2022,20.0,54.3,32.1,129.0,,,
14,Dwaine Pretorius,Overseas,All-Rounder,5.0,1,Chennai Super Kings,2022,,,,,,,
15,Mitchell Santner,Overseas,All-Rounder,19.0,1,Chennai Super Kings,2022,5.0,18.2,32.0,146.0,5.0,9.11,2.0
16,Adam Milne,Overseas,Bowler,19.0,1,Chennai Super Kings,2022,7.0,7.5,37.5,125.0,25.0,7.39,26.0
17,Subhranshu Senapati,Indian,Batsman,2.0,1,Chennai Super Kings,2022,4.0,19.8,33.8,116.2,,,
18,Mukesh Choudhary,Indian,Bowler,2.0,1,Chennai Super Kings,2022,,,,,,,
19,Prashant Solanki,Indian,Bowler,12.0,1,Chennai Super Kings,2022,,,,,,,
20,K.Bhagath Varma,Indian,All-Rounder,2.0,1,Chennai Super Kings,2022,,,,,,,
21,David Warner,Overseas,Batsman,62.5,1,Delhi Capitals,2022,8.0,24.4,44.2,107.7,,,
22,Mitchell Marsh,Overseas,All-Rounder,65.0,1,Delhi Capitals,2022,14.0,57.6,29.1,154.2,7.0,8.4,6.0
23,Mustafizur Rahman,Overseas,Bowler,20.0,1,Delhi Capitals,2022,3.0,,78.6,57.1,14.0,8.36,14.0
24,Shardul Thakur,Indian,Bowler,107.5,1,Delhi Capitals,2022,4.0,2.5,40.0,100.0,16.0,8.81,21.0
25,Kuldeep Yadav,Indian,Bowler,20.0,1,Delhi Capitals,2022,,,,,,,
26,Ashwin Hebbar,Indian,Batsman,2.0,1,Delhi Capitals,2022,3.0,22.0,44.6,106.0,2.0,14.2,0.0
27,Sarfaraz Khan,Indian,All-Rounder,2.0,1,Delhi Capitals,2022,6.0,14.2,35.5,137.1,1.0,3.0,0.0
28,Kamlesh Nagarkoti,Indian,All-Rounder,11.0,1,Delhi Capitals,2022,1.0,0.0,100.0,0.0,3.0,8.6,2.0
29,K.S. Bharat,Indian,Wicket Keeper,20.0,1,Delhi Capitals,2022,9.0,34.2,34.0,131.1,,,
30,Mandeep Singh,Indian,Batsman,11.0,1,Delhi Capitals,2022,3.0,92.0,39.4,129.6,,,
31,Syed Khaleel Ahmed,Indian,Bowler,52.5,1,Delhi Capitals,2022,,,,,,,
32,Lungisani Ngidi,Overseas,Bowler,5.0,1,Delhi Capitals,2022,,,,,,,
33,Chetan Sakariya,Indian,Bowler,42.0,1,Delhi Capitals,2022,5.0,3.2,64.0,64.0,19.0,7.24,24.0
34,Yash Dhull,Indian,All-Rounder,5.0,1,Delhi Capitals,2022,,,,,,,
35,Vicky Ostwal,Indian,All-Rounder,2.0,1,Delhi Capitals,2022,,,,,,,
36,Ripal Patel,Indian,All-Rounder,2.0,1,Delhi Capitals,2022,2.0,25.0,51.9,92.6,1.0,7.33,0.0
37,Lalit Yadav,Indian,All-Rounder,6.5,1,Delhi Capitals,2022,9.0,61.3,30.5,140.5,11.0,7.58,14.0
38,Rovman Powell,Overseas,Batsman,28.0,1,Delhi Capitals,2022,20.0,21.1,44.9,136.5,8.0,10.24,5.0
39,Tim Seifert,Overseas,Wicket Keeper,5.0,1,Delhi Capitals,2022,25.0,24.5,47.6,113.3,,,
40,Pravin Dubey,Indian,All-Rounder,5.0,1,Delhi Capitals,2022,,,,,,,
41,Mohammad Shami,Indian,Bowler,62.5,1,Gujarat Titans,2022,,,,,,,
42,David Miller,Overseas,Batsman,30.0,1,Gujarat Titans,2022,11.0,30.0,37.2,122.4,,,
43,Jason Roy,Overseas,Batsman,20.0,1,Gujarat Titans,2022,26.0,33.0,37.6,133.6,,,
44,Wriddhiman Saha,Indian,Wicket Keeper,19.0,1,Gujarat Titans,2022,9.0,14.6,46.4,93.6,,,
45,Matthew Wade,Overseas,Wicket Keeper,24.0,1,Gujarat Titans,2022,10.0,28.0,31.8,159.1,,,
46,Lockie Ferguson,Overseas,Bowler,100.0,1,Gujarat Titans,2022,8.0,14.5,46.5,122.5,27.0,7.25,39.0
47,Abhinav Sadarangani,Indian,Batsman,26.0,1,Gujarat Titans,2022,,,,,,,
48,Rahul Tewatia,Indian,All-Rounder,90.0,1,Gujarat Titans,2022,15.0,19.9,38.6,118.3,18.0,8.9,11.0
49,Noor Ahmad,Overseas,Bowler,3.0,1,Gujarat Titans,2022,5.0,8.0,52.0,64.0,17.0,7.37,13.0
50,Sai Kishore,Indian,Bowler,30.0,1,Gujarat Titans,2022,2.0,13.0,37.5,162.5,13.0,5.24,17.0
51,Dominic Drakes,Overseas,All-Rounder,11.0,1,Gujarat Titans,2022,5.0,25.5,34.9,161.9,11.0,8.56,16.0
52,Vijay Shankar,Indian,All-Rounder,14.0,1,Gujarat Titans,2022,11.0,25.5,32.9,122.2,7.0,8.44,3.0
53,Jayant Yadav,Indian,All-Rounder,17.0,1,Gujarat Titans,2022,3.0,12.3,31.0,127.6,10.0,7.54,5.0
54,Darshan Nalkande,Indian,All-Rounder,2.0,1,Gujarat Titans,2022,4.0,24.0,48.9,106.7,5.0,8.53,11.0
55,Yash Dayal,Indian,Bowler,32.0,1,Gujarat Titans,2022,,,,,,,
56,B. Sai Sudharsan,Indian,All-Rounder,2.0,1,Gujarat Titans,2022,,,,,,,
57,Gurkeerat Singh,Indian,All-Rounder,5.0,1,Gujarat Titans,2022,5.0,50.3,35.4,118.9,1.0,4.5,1.0
58,Alzarri Joseph,Overseas,Bowler,24.0,1,Gujarat Titans,2022,2.0,10.0,36.4,90.9,10.0,7.68,9.0
59,Varun Aaron,Indian,Bowler,5.0,1,Gujarat Titans,2022,,,,,,,
60,Pradeep Sangwan,Indian,All-Rounder,2.0,1,Gujarat Titans,2022,,,,,,,
61,Pat Cummins,Overseas,All-Rounder,72.5,1,Kolkata Knight Riders,2022,5.0,31.0,41.1,166.1,7.0,8.83,9.0
62,Shreyas Iyer,Indian,Batsman,122.5,1,Kolkata Knight Riders,2022,8.0,35.0,32.7,102.3,,,
63,Mohammad Nabi,Overseas,All-Rounder,10.0,1,Kolkata Knight Riders,2022,31.0,20.7,35.8,132.2,30.0,7.08,20.0
64,Nitish Rana,Indian,All-Rounder,80.0,1,Kolkata Knight Riders,2022,20.0,33.4,39.6,132.8,4.0,6.77,1.0
65,Sam Billings,Overseas,Wicket Keeper,20.0,1,Kolkata Knight Riders,2022,28.0,30.7,31.8,139.2,,,
66,Umesh Yadav,Indian,Bowler,20.0,1,Kolkata Knight Riders,2022,,,,,,,
67,Shivam Mavi,Indian,All-Rounder,72.5,1,Kolkata Knight Riders,2022,2.0,12.5,55.0,125.0,9.0,7.24,11.0
68,Sheldon Jackson,Indian,Wicket Keeper,6.0,1,Kolkata Knight Riders,2022,4.0,98.5,31.2,142.8,,,
69,Ajinkya Rahane,Indian,Batsman,10.0,1,Kolkata Knight Riders,2022,1.0,8.0,50.0,100.0,,,
70,Rinku Singh,Indian,Batsman,5.5,1,Kolkata Knight Riders,2022,,,,,,,
71,Anukul Roy,Indian,All-Rounder,2.0,1,Kolkata Knight Riders,2022,7.0,28.2,27.3,171.2,7.0,6.55,4.0
72,Alex Hales,Overseas,Batsman,15.0,1,Kolkata Knight Riders,2022,43.0,33.3,36.7,161.8,,,
73,Rasikh Dar,Indian,Bowler,2.0,1,Kolkata Knight Riders,2022,,,,,,,
74,Tim Southee,Overseas,Bowler,15.0,1,Kolkata Knight Riders,2022,2.0,13.5,45.0,135.0,7.0,7.89,11.0
75,Baba Indrajith,Indian,Wicket Keeper,2.0,1,Kolkata Knight Riders,2022,,,,,,,
76,Chamika Karunaratne,Overseas,All-Rounder,5.0,1,Kolkata Knight Riders,2022,10.0,31.2,43.6,133.3,7.0,10.83,5.0
77,Abhijeet Tomar,Indian,Batsman,4.0,1,Kolkata Knight Riders,2022,,,,,,,
78,Aman Khan,Indian,All-Rounder,2.0,1,Kolkata Knight Riders,2022,,,,,,,
79,Ramesh Kumar,Indian,Batsman,2.0,1,Kolkata Knight Riders,2022,,,,,,,
80,Pratham Singh,Indian,Batsman,2.0,1,Kolkata Knight Riders,2022,,,,,,,
81,Ashok Sharma,Indian,Bowler,5.5,1,Kolkata Knight Riders,2022,,,,,,,
82,Quinton De Kock,Overseas,Wicket Keeper,67.5,1,Lucknow Super Giants,2022,19.0,31.2,34.3,133.8,,,
83,Manish Pandey,Indian,Batsman,46.0,1,Lucknow Super Giants,2022,12.0,39.2,35.0,117.4,,,
84,Jason Holder,Overseas,All-Rounder,87.5,1,Lucknow Super Giants,2022,16.0,12.9,44.7,122.0,17.0,8.13,21.0
85,Deepak Hooda,Indian,All-Rounder,57.5,1,Lucknow Super Giants,2022,13.0,25.4,31.2,150.0,7.0,8.5,2.0
86,Krunal Pandya,Indian,All-Rounder,82.5,1,Lucknow Super Giants,2022,12.0,14.3,39.8,116.3,12.0,7.99,5.0
87,Mark Wood,Overseas,Bowler,75.0,1,Lucknow Super Giants,2022,,,,,,,
88,Avesh Khan,Indian,Bowler,100.0,1,Lucknow Super Giants,2022,3.0,2.3,57.1,100.0,19.0,7.01,36.0
89,Ankit Singh Rajpoot,Indian,Bowler,5.0,1,Lucknow Super Giants,2022,,,,,,,
90,K. Gowtham,Indian,All-Rounder,9.0,1,Lucknow Super Giants,2022,,,,,,,
91,Dushmanta Chameera,Overseas,Bowler,20.0,1,Lucknow Super Giants,2022,,,,,,,
92,Shahbaz Nadeem,Indian,Bowler,5.0,1,Lucknow Super Giants,2022,4.0,5.2,45.0,105.0,8.0,7.13,5.0
93,Manan Vohra,Indian,Batsman,2.0,1,Lucknow Super Giants,2022,4.0,10.5,61.5,107.7,,,
94,Evin Lewis,Overseas,Batsman,20.0,1,Lucknow Super Giants,2022,16.0,41.2,41.8,163.0,,,
95,Mohsin Khan,Indian,Bowler,2.0,1,Lucknow Super Giants,2022,,,,,,,
96,Mayank Yadav,Indian,Bowler,2.0,1,Lucknow Super Giants,2022,,,,,,,
97,Ayush Badoni,Indian,All-Rounder,2.0,1,Lucknow Super Giants,2022,,,,,,,
98,Kyle Mayers,Overseas,All-Rounder,5.0,1,Lucknow Super Giants,2022,10.0,20.8,44.1,123.0,3.0,9.52,3.0
99,Karan Sharma,Indian,All-Rounder,2.0,1,Lucknow Super Giants,2022,,,,,,,
100,Ishan Kishan,Indian,Wicket Keeper,152.5,1,Mumbai Indians,2022,14.0,27.6,39.2,134.0,,,
101,Dewald Brevis,Overseas,Batsman,30.0,1,Mumbai Indians,2022,,,,,,,
102,Anmolpreet Singh,Indian,Batsman,2.0,1,Mumbai Indians,2022,3.0,11.0,61.5,84.6,,,
103,Basil Thampi,Indian,Bowler,3.0,1,Mumbai Indians,2022,,,,,,,
104,Murugan Ashwin,Indian,Bowler,16.0,1,Mumbai Indians,2022,3.0,8.5,46.2,65.4,16.0,6.55,14.0
105,Jaydev Unadkat,Indian,Bowler,13.0,1,Mumbai Indians,2022,5.0,15.3,36.1,127.8,11.0,7.89,13.0
106,Mayank Markande,Indian,Bowler,6.5,1,Mumbai Indians,2022,1.0,2.0,33.3,66.7,7.0,6.83,7.0
107,N. Tilak Varma,Indian,All-Rounder,17.0,1,Mumbai Indians,2022,,,,,,,
108,Sanjay Yadav,Indian,All-Rounder,5.0,1,Mumbai Indians,2022,3.0,25.0,28.6,133.9,3.0,6.5,3.0
109,Jofra Archer,Overseas,All-Rounder,80.0,1,Mumbai Indians,2022,,,,,,,
110,Daniel Sams,Overseas,All-Rounder,26.0,1,Mumbai Indians,2022,11.0,21.5,33.3,159.3,13.0,8.64,16.0
111,Tymal Mills,Overseas,Bowler,15.0,1,Mumbai Indians,2022,3.0,14.7,48.7,112.8,23.0,7.35,31.0
112,Tim David,Overseas,All-Rounder,82.5,1,Mumbai Indians,2022,35.0,31.0,34.3,153.4,7.0,6.62,1.0
113,Ramandeep Singh,Indian,All-Rounder,2.0,1,Mumbai Indians,2022,4.0,17.8,29.3,173.2,2.0,5.67,2.0
114,Aryan Juyal,Indian,Wicket Keeper,2.0,1,Mumbai Indians,2022,,,,,,,
115,Fabian Allen,Overseas,All-Rounder,7.5,1,Mumbai Indians,2022,15.0,14.6,45.2,117.7,17.0,8.23,13.0
116,Riley Meredith,Overseas,Bowler,10.0,1,Mumbai Indians,2022,2.0,7.0,20.0,140.0,16.0,8.86,18.0
117,Rahul Buddhi,Indian,Batsman,2.0,1,Mumbai Indians,2022,4.0,17.2,27.6,119.0,1.0,12.0,0.0
118,Hrithik Shokeen,Indian,All-Rounder,2.0,1,Mumbai Indians,2022,,,,,,,
119,Mohd. Arshad Khan,Indian,All-Rounder,2.0,1,Mumbai Indians,2022,,,,,,,
120,Arjun Tendulkar,Indian,All-Rounder,3.0,1,Mumbai Indians,2022,1.0,3.0,57.1,42.9,1.0,8.25,1.0
121,Shikhar Dhawan,Indian,Batsman,82.5,1,Punjab Kings,2022,20.0,35.8,37.7,125.0,,,
122,Kagiso Rabada,Overseas,Bowler,92.5,1,Punjab Kings,2022,3.0,,16.7,216.7,15.0,8.16,15.0
123,Jonny Bairstow,Overseas,Wicket Keeper,67.5,1,Punjab Kings,2022,13.0,55.9,34.4,160.5,,,
124,Rahul Chahar,Indian,Bowler,52.5,1,Punjab Kings,2022,6.0,3.0,52.0,84.0,14.0,7.16,19.0
125,Harpreet Brar,Indian,All-Rounder,38.0,1,Punjab Kings,2022,7.0,78.0,33.3,113.0,13.0,5.75,8.0
126,Shahrukh Khan,Indian,All-Rounder,90.0,1,Punjab Kings,2022,18.0,33.5,34.1,156.5,,,
127,Jitesh Sharma,Indian,Wicket Keeper,2.0,1,Punjab Kings,2022,5.0,24.2,39.7,167.2,,,
128,Prabhsimran Singh,Indian,Wicket Keeper,6.0,1,Punjab Kings,2022,8.0,40.7,39.9,129.8,,,
129,Ishan Porel,Indian,Bowler,2.5,1,Punjab Kings,2022,,,,,,,
130,Liam Livingstone,Overseas,All-Rounder,115.0,1,Punjab Kings,2022,31.0,39.0,36.1,151.3,17.0,8.32,12.0
131,Odean Smith,Overseas,All-Rounder,60.0,1,Punjab Kings,2022,,,,,,,
132,Sandeep Sharma,Indian,Bowler,5.0,1,Punjab Kings,2022,3.0,4.5,33.3,100.0,9.0,8.55,6.0
133,Raj Angad Bawa,Indian,All-Rounder,20.0,1,Punjab Kings,2022,,,,,,,
134,Rishi Dhawan,Indian,All-Rounder,5.5,1,Punjab Kings,2022,5.0,46.3,29.6,128.7,5.0,8.14,11.0
135,Nathan Ellis,Overseas,Bowler,7.5,1,Punjab Kings,2022,11.0,8.9,28.8,107.6,18.0,7.96,22.0
136,Prerak Mankad,Indian,All-Rounder,2.0,1,Punjab Kings,2022,5.0,42.8,23.3,166.0,5.0,10.23,6.0
137,Atharva Taide,Indian,All-Rounder,2.0,1,Punjab Kings,2022,4.0,29.0,37.8,141.5,2.0,19.0,0.0
138,Vaibhav Arora,Indian,Bowler,20.0,1,Punjab Kings,2022,,,,,,,
139,Bhanuka Rajapaksa,Overseas,Batsman,5.0,1,Punjab Kings,2022,9.0,19.9,36.1,134.6,,,
140,Benny Howell,Overseas,All-Rounder,4.0,1,Punjab Kings,2022,16.0,23.7,28.1,141.9,20.0,7.79,25.0
141,Writtick Chatterjee,Indian,All-Rounder,2.0,1,Punjab Kings,2022,4.0,30.7,32.4,124.3,4.0,7.67,4.0
142,Baltej Dhanda,Indian,Bowler,2.0,1,Punjab Kings,2022,,,,,,,
143,Ansh Patel,Indian,All-Rounder,2.0,1,Punjab Kings,2022,,,,,,,
144,R. Ashwin,Indian,All-Rounder,50.0,1,Rajasthan Royals,2022,5.0,14.7,33.3,104.8,13.0,7.41,7.0
145,Trent Boult,Overseas,Bowler,80.0,1,Rajasthan Royals,2022,3.0,,50.0,133.3,20.0,7.56,18.0
146,Shimron Hetmyer,Overseas,Batsman,85.0,1,Rajasthan Royals,2022,23.0,27.5,31.6,140.7,,,
147,Devdutt Padikkal,Indian,Batsman,77.5,1,Rajasthan Royals,2022,15.0,30.1,42.9,124.9,,,
148,Prasidh Krishna,Indian,Bowler,100.0,1,Rajasthan Royals,2022,2.0,0.5,83.3,16.7,11.0,8.96,12.0
149,Yuzvendra Chahal,Indian,Bowler,65.0,1,Rajasthan Royals,2022,3.0,,64.3,39.3,20.0,7.15,21.0
150,Riyan Parag,Indian,All-Rounder,38.0,1,Rajasthan Royals,2022,13.0,27.2,36.0,120.7,9.0,8.85,4.0
151,K.C Cariappa,Indian,Bowler,3.0,1,Rajasthan Royals,2022,1.0,0.0,100.0,0.0,4.0,5.88,6.0
152,James Neesham,Overseas,All-Rounder,15.0,1,Rajasthan Royals,2022,25.0,14.5,31.8,131.4,29.0,8.25,30.0
153,Nathan Coulter-Nile,Overseas,Bowler,20.0,1,Rajasthan Royals,2022,7.0,2.4,57.9,89.5,13.0,7.98,18.0
154,Navdeep Saini,Indian,Bowler,26.0,1,Rajasthan Royals,2022,1.0,2.0,50.0,50.0,2.0,13.0,0.0
155,Kuldeep Sen,Indian,Bowler,2.0,1,Rajasthan Royals,2022,1.0,0.0,100.0,0.0,3.0,7.24,3.0
156,Karun Nair,Indian,Batsman,14.0,1,Rajasthan Royals,2022,5.0,23.8,30.0,158.3,2.0,4.0,2.0
157,Rassie Van Der Dussen,Overseas,Batsman,10.0,1,Rajasthan Royals,2022,,,,,,,
158,Daryl Mitchell,Overseas,All-Rounder,7.5,1,Rajasthan Royals,2022,,,,,,,
159,Obed Mccoy,Overseas,Bowler,7.5,1,Rajasthan Royals,2022,,,,,,,
160,Dhruv Jurel,Indian,Wicket Keeper,2.0,1,Rajasthan Royals,2022,,,,,,,
161,Tejas Baroka,Indian,Bowler,2.0,1,Rajasthan Royals,2022,,,,,,,
162,Kuldip Yadav,Indian,Bowler,2.0,1,Rajasthan Royals,2022,1.0,,100.0,0.0,1.0,8.0,0.0
163,Shubham Garhwal,Indian,All-Rounder,2.0,1,Rajasthan Royals,2022,,,,,,,
164,Anunay Singh,Indian,All-Rounder,2.0,1,Rajasthan Royals,2022,,,,,,,
165,Faf Du Plessis,Overseas,Batsman,70.0,1,Royal Challengers Bangalore,2022,28.0,38.0,33.8,138.3,,,
166,Wanindu Hasaranga,Overseas,All-Rounder,107.5,1,Royal Challengers Bangalore,2022,8.0,15.0,42.0,180.0,12.0,7.26,11.0
167,Harshal Patel,Indian,All-Rounder,107.5,1,Royal Challengers Bangalore,2022,9.0,14.8,41.3,141.3,17.0,8.03,36.0
168,Dinesh Karthik,Indian,Wicket Keeper,55.0,1,Royal Challengers Bangalore,2022,20.0,26.9,30.9,142.3,,,
169,Josh Hazlewood,Overseas,Bowler,77.5,1,Royal Challengers Bangalore,2022,,,,,,,
170,Shahbaz Ahamad,Indian,All-Rounder,24.0,1,Royal Challengers Bangalore,2022,,,,,,,
171,Anuj Rawat,Indian,Wicket Keeper,34.0,1,Royal Challengers Bangalore,2022,5.0,50.0,44.7,131.6,,,
172,Akash Deep,Indian,Bowler,2.0,1,Royal Challengers Bangalore,2022,3.0,3.7,42.9,157.1,5.0,7.72,6.0
173,Karn Sharma,Indian,Bowler,5.0,1,Royal Challengers Bangalore,2022,,,,,,,
174,Mahipal Lomror,Indian,All-Rounder,9.5,1,Royal Challengers Bangalore,2022,11.0,51.4,31.9,141.7,5.0,6.62,1.0
175,Finn Allen,Overseas,Batsman,8.0,1,Royal Challengers Bangalore,2022,32.0,32.1,32.3,167.0,1.0,8.0,0.0
176,Sherfane Rutherford,Overseas,All-Rounder,10.0,1,Royal Challengers Bangalore,2022,26.0,29.2,41.8,129.7,,,
177,Jason Behrendorff,Overseas,Bowler,7.5,1,Royal Challengers Bangalore,2022,3.0,4.0,25.0,100.0,20.0,6.85,25.0
178,Siddharth Kaul,Indian,Bowler,7.5,1,Royal Challengers Bangalore,2022,,,,,,,
179,Suyash Prabhudessai,Indian,All-Rounder,3.0,1,Royal Challengers Bangalore,2022,5.0,26.8,32.9,146.6,3.0,7.75,1.0
180,Luvnith Sisodia,Indian,Wicket Keeper,2.0,1,Royal Challengers Bangalore,2022,,,,,,,
181,Chama Milind,Indian,Bowler,2.5,1,Royal Challengers Bangalore,2022,4.0,15.0,40.7,111.1,4.0,10.0,0.0
182,Aneeshwar Gautam,Indian,All-Rounder,2.0,1,Royal Challengers Bangalore,2022,,,,,,,
183,David Willey,Overseas,All-Rounder,20.0,1,Royal Challengers Bangalore,2022,10.0,29.3,34.1,158.9,12.0,9.0,12.0
184,Washington Sundar,Indian,All-Rounder,87.5,1,Sunrisers Hyderabad,2022,4.0,7.8,53.2,66.0,6.0,7.38,3.0
185,Nicholas Pooran,Overseas,Wicket Keeper,107.5,1,Sunrisers Hyderabad,2022,23.0,18.4,41.0,145.3,,,
186,Bhuvneshwar Kumar,Indian,Bowler,42.0,1,Sunrisers Hyderabad,2022,7.0,34.0,20.0,113.3,11.0,7.98,6.0
187,T. Natarajan,Indian,Bowler,40.0,1,Sunrisers Hyderabad,2022,,,,,,,
188,Priyam Garg,Indian,Batsman,2.0,1,Sunrisers Hyderabad,2022,5.0,14.4,36.5,97.3,,,
189,Rahul Tripathi,Indian,Batsman,85.0,1,Sunrisers Hyderabad,2022,17.0,30.9,31.1,141.2,,,
190,Abhishek Sharma,Indian,All-Rounder,65.0,1,Sunrisers Hyderabad,2022,13.0,19.2,33.8,137.0,10.0,5.95,9.0
191,Vishnu Vinod,Indian,Wicket Keeper,5.0,1,Sunrisers Hyderabad,2022,4.0,157.0,23.3,174.4,,,
192,Kartik Tyagi,Indian,Bowler,40.0,1,Sunrisers Hyderabad,2022,2.0,2.0,50.0,50.0,4.0,8.86,4.0
193,Shreyas Gopal,Indian,Bowler,7.5,1,Sunrisers Hyderabad,2022,3.0,10.0,50.0,125.0,4.0,10.45,0.0
194,Jagadeesha Suchith,Indian,Bowler,2.0,1,Sunrisers Hyderabad,2022,5.0,11.5,33.3,170.4,7.0,7.96,3.0
195,Aiden Markram,Overseas,Batsman,26.0,1,Sunrisers Hyderabad,2022,6.0,29.2,30.3,122.7,2.0,5.75,0.0
196,Marco Jansen,Overseas,All-Rounder,42.0,1,Sunrisers Hyderabad,2022,2.0,0.0,100.0,0.0,2.0,7.5,2.0
197,Romario Shepherd,Overseas,All-Rounder,77.5,1,Sunrisers Hyderabad,2022,8.0,21.8,37.9,165.2,9.0,7.7,18.0
198,Glenn Phillips,Overseas,Wicket Keeper,15.0,1,Sunrisers Hyderabad,2022,41.0,35.0,36.3,146.0,10.0,9.07,3.0
199,Fazalhaq Farooqi,Overseas,Bowler,5.0,1,Sunrisers Hyderabad,2022,,,,,,,
200,Sean Abbott,Overseas,Bowler,24.0,1,Sunrisers Hyderabad,2022,3.0,61.0,43.9,107.0,9.0,8.42,19.0
201,R Samarth,Indian,Batsman,2.0,1,Sunrisers Hyderabad,2022,,,,,,,
202,Shashank Singh,Indian,All-Rounder,2.0,1,Sunrisers Hyderabad,2022,,,,,,,
203,Saurabh Dubey,Indian,Bowler,2.0,1,Sunrisers Hyderabad,2022,,,,,,,
204,Suresh Raina,Indian,Batsman,20.0,0,NONE,2022,11.0,17.8,45.3,125.0,,,
205,Steve Smith,Overseas,Batsman,20.0,0,NONE,2022,,,,,,,
206,Shakib Al Hasan,Overseas,All-Rounder,20.0,0,NONE,2022,6.0,9.4,31.2,97.9,8.0,7.19,4.0
207,Adil Rashid,Overseas,Bowler,20.0,0,NONE,2022,1.0,,0.0,100.0,13.0,7.7,17.0
208,Imran Tahir,Overseas,Bowler,20.0,0,NONE,2022,10.0,6.0,47.5,120.0,36.0,6.68,52.0
209,Mujeeb Zadran,Overseas,Bowler,20.0,0,NONE,2022,,,,,,,
210,Adam Zampa,Overseas,Bowler,20.0,0,NONE,2022,4.0,3.0,45.5,81.8,14.0,7.57,16.0
211,James Vince,Overseas,Batsman,20.0,0,NONE,2022,44.0,32.7,35.1,135.9,,,
212,Marchant De Lange,Overseas,Bowler,20.0,0,NONE,2022,13.0,11.1,48.6,135.1,22.0,8.57,27.0
213,Saqib Mahmood,Overseas,Bowler,20.0,0,NONE,2022,4.0,11.0,33.3,73.3,19.0,8.34,31.0
214,Ashton Agar,Overseas,All-Rounder,20.0,0,NONE,2022,4.0,22.0,28.6,157.1,8.0,7.19,11.0
215,Craig Overton,Overseas,All-Rounder,20.0,0,NONE,2022,7.0,13.8,37.2,127.9,13.0,6.93,14.0
216,Amit Mishra,Indian,Bowler,15.0,0,NONE,2022,,,,,,,
217,Aaron Finch,Overseas,Batsman,15.0,0,NONE,2022,12.0,12.5,43.7,119.0,,,
218,Dawid Malan,Overseas,Batsman,15.0,0,NONE,2022,22.0,23.4,36.9,115.5,,,
219,Eoin Morgan,Overseas,Batsman,15.0,0,NONE,2022,27.0,18.1,39.9,118.1,,,
220,Ishant Sharma,Indian,Bowler,15.0,0,NONE,2022,,,,,,,
221,Chris Lynn,Overseas,Batsman,15.0,0,NONE,2022,29.0,25.6,40.0,143.1,,,
222,Usman Khawaja,Overseas,Batsman,15.0,0,NONE,2022,17.0,33.5,35.1,139.6,,,
223,Lewis Gregory,Overseas,All-Rounder,15.0,0,NONE,2022,23.0,16.7,35.5,122.4,20.0,10.31,15.0
224,Kane Richardson,Overseas,Bowler,15.0,0,NONE,2022,6.0,2.7,47.1,94.1,12.0,8.77,16.0
225,Colin Munro,Overseas,All-Rounder,15.0,0,NONE,2022,41.0,43.1,36.1,132.8,,,
226,Marnus Labuschagne,Overseas,Batsman,10.0,0,NONE,2022,14.0,43.5,27.9,134.8,14.0,8.69,19.0
227,Piyush Chawla,Indian,Bowler,10.0,0,NONE,2022,1.0,0.0,100.0,0.0,1.0,9.5,1.0
228,Tabraiz Shamsi,Overseas,Bowler,10.0,0,NONE,2022,1.0,,50.0,50.0,7.0,8.68,7.0
229,Joshua Philippe,Overseas,Wicket Keeper,10.0,0,NONE,2022,,,,,,,
230,Andrew Tye,Overseas,Bowler,10.0,0,NONE,2022,6.0,18.0,44.4,150.0,20.0,7.78,30.0
231,Rilee Rossouw,Overseas,Batsman,10.0,0,NONE,2022,13.0,16.9,36.7,155.0,,,
