Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Mozambique,2018,4.654,7.162,0.738,54.200,0.897,0.049,0.691,0.640,0.397
Myanmar,2018,4.411,8.523,0.774,59.000,0.906,0.490,0.647,0.777,0.300
Namibia,2018,4.834,9.204,0.864,56.500,0.754,-0.169,0.846,0.739,0.240
Nepal,2018,4.910,8.087,0.768,63.500,0.770,0.122,0.742,0.537,0.387
Netherlands,2018,7.463,10.941,0.939,72.300,0.920,0.161,0.371,0.862,0.205
New Zealand,2018,7.370,10.660,0.954,73.200,0.949,0.120,0.207,0.845,0.168
Nicaragua,2018,5.819,8.647,0.854,67.500,0.797,0.009,0.713,0.793,0.408
Niger,2018,5.164,7.087,0.612,53.500,0.791,0.009,0.637,0.771,0.503
Nigeria,2018,5.252,8.548,0.741,49.700,0.790,-0.010,0.866,0.805,0.256
North Cyprus,2018,5.608,,0.837,,0.797,,0.614,0.480,0.262
North Macedonia,2018,5.240,9.677,0.849,65.389,0.745,-0.041,0.910,0.590,0.298
Norway,2018,7.444,11.056,0.966,73.200,0.960,0.094,0.268,0.827,0.212
Pakistan,2018,5.472,8.464,0.685,58.500,0.773,0.069,0.799,0.567,0.377
Palestinian Territories,2018,4.554,,0.819,,0.655,,0.814,0.610,0.419
Panama,2018,6.281,10.343,0.904,69.600,0.861,-0.131,0.837,0.884,0.223
Peru,2018,5.680,9.456,0.845,68.100,0.830,-0.178,0.906,0.809,0.380
Philippines,2018,5.869,9.050,0.846,61.900,0.918,-0.108,0.726,0.773,0.393
Poland,2018,6.111,10.366,0.863,69.300,0.870,-0.254,0.720,0.742,0.176
Portugal,2018,5.920,10.434,0.887,72.400,0.877,-0.261,0.880,0.679,0.318
Romania,2018,6.151,10.260,0.818,67.200,0.845,-0.217,0.921,0.735,0.298
Russia,2018,5.514,10.191,0.909,64.300,0.729,-0.147,0.865,0.673,0.199
Rwanda,2018,3.561,7.644,0.616,61.100,0.924,0.057,0.164,0.793,0.308
Saudi Arabia,2018,6.356,10.771,0.868,66.300,0.855,-0.192,,0.764,0.288
Senegal,2018,4.769,8.106,0.739,59.600,0.629,-0.074,0.805,0.714,0.247
Serbia,2018,5.936,9.762,0.853,68.200,0.740,-0.100,0.864,0.559,0.296
Sierra Leone,2018,4.306,7.417,0.650,50.800,0.716,0.095,0.856,0.552,0.466
Singapore,2018,6.375,11.490,0.903,76.800,0.916,-0.066,0.097,0.787,0.107
Slovakia,2018,6.235,10.376,0.922,68.900,0.758,-0.167,0.910,0.754,0.253
Slovenia,2018,6.249,10.546,0.941,71.100,0.942,-0.119,0.839,0.644,0.275
South Africa,2018,4.884,9.444,0.841,56.500,0.753,-0.050,0.841,0.812,0.283
South Korea,2018,5.840,10.643,0.798,73.600,0.600,-0.089,0.797,0.661,0.217
Spain,2018,6.513,10.605,0.910,74.400,0.722,-0.075,0.777,0.659,0.357
Sri Lanka,2018,4.435,9.462,0.833,67.200,0.859,0.106,0.856,0.831,0.302
Swaziland,2018,4.212,9.060,0.779,50.353,0.710,-0.178,0.692,0.824,0.252
Sweden,2018,7.375,10.881,0.931,72.600,0.942,0.077,0.263,0.823,0.161
Switzerland,2018,7.509,11.134,0.930,74.100,0.926,0.101,0.301,0.792,0.192
Taiwan Province of China,2018,6.467,,0.896,,0.741,,0.736,0.848,0.093
Tajikistan,2018,5.497,8.082,0.875,64.100,,-0.065,0.578,0.695,0.220
Tanzania,2018,3.445,7.859,0.675,57.500,0.807,0.153,0.612,0.762,0.221
Thailand,2018,6.012,9.803,0.873,67.200,0.905,0.259,0.907,0.843,0.198
